contact_half_width_m,test_id,sinkage_m,pressure_kPa
0.03,fig12-bekker-curve,0.005035971223021583,2.671614100185508
0.03,fig12-bekker-curve,0.013069544364508391,8.90538033395174
0.03,fig12-bekker-curve,0.021103117505995205,16.32653061224488
0.03,fig12-bekker-curve,0.02901678657074341,24.63821892393318
0.03,fig12-bekker-curve,0.03693045563549161,32.94990723562151
0.03,fig12-bekker-curve,0.04508393285371703,42.44897959183672
0.03,fig12-bekker-curve,0.05299760191846523,52.24489795918366
0.03,fig12-bekker-curve,0.06103117505995205,62.33766233766232
0.03,fig12-bekker-curve,0.06906474820143886,72.72727272727272
0.03,fig12-bekker-curve,0.07709832134292567,83.41372912801484
0.03,fig12-bekker-curve,0.08501199040767386,94.10018552875694
0.03,fig12-bekker-curve,0.09304556354916067,105.97402597402596
0.035,fig13-bekker-curve,0.005025773195876291,3.2352941176470438
0.035,fig13-bekker-curve,0.013015463917525776,10.0
0.035,fig13-bekker-curve,0.021005154639175256,18.235294117647044
0.035,fig13-bekker-curve,0.028994845360824736,27.35294117647058
0.035,fig13-bekker-curve,0.03698453608247422,37.05882352941174
0.035,fig13-bekker-curve,0.04510309278350516,47.35294117647058
0.035,fig13-bekker-curve,0.05,53.82352941176471
0.035,fig13-bekker-curve,0.053092783505154645,58.23529411764706
0.035,fig13-bekker-curve,0.06108247422680412,69.41176470588233
0.035,fig13-bekker-curve,0.0690721649484536,80.88235294117645
0.035,fig13-bekker-curve,0.0770618556701031,92.6470588235294
0.035,fig13-bekker-curve,0.08505154639175258,104.99999999999999
0.035,fig13-bekker-curve,0.08749999999999998,108.8235294117647
0.0375,fig14-bekker-curve,0.0050064184852374825,3.223443223443212
0.0375,fig14-bekker-curve,0.013093709884467265,9.963369963369956
0.0375,fig14-bekker-curve,0.021052631578947368,18.754578754578745
0.0375,fig14-bekker-curve,0.02901155327342747,27.838827838827825
0.0375,fig14-bekker-curve,0.03709884467265725,37.50915750915749
0.0375,fig14-bekker-curve,0.04505776636713735,48.35164835164835
0.0375,fig14-bekker-curve,0.050064184852374835,55.38461538461539
0.0375,fig14-bekker-curve,0.05301668806161746,59.1941391941392
0.0375,fig14-bekker-curve,0.061103979460847245,70.9157509157509
0.0375,fig14-bekker-curve,0.06906290115532736,82.63736263736263
0.0375,fig14-bekker-curve,0.07702182284980745,94.94505494505495
0.0375,fig14-bekker-curve,0.08510911424903723,107.83882783882784
0.0375,fig14-bekker-curve,0.0907573812580231,116.63003663003663
