contact_half_width_m,test_id,sinkage_m,pressure_kPa
0.03,fig12-band,0.010071942446043166,7.421150278293112
0.03,fig12-band,0.010071942446043166,4.749536178107604
0.03,fig12-band,0.01498800959232614,13.654916512059344
0.03,fig12-band,0.01498800959232614,13.358070500927624
0.03,fig12-band,0.01498800959232614,12.467532467532436
0.03,fig12-band,0.01498800959232614,9.20222634508346
0.03,fig12-band,0.020023980815347724,19.591836734693857
0.03,fig12-band,0.020023980815347724,18.404452690166977
0.03,fig12-band,0.020023980815347724,16.92022263450835
0.03,fig12-band,0.020023980815347724,14.545454545454533
0.03,fig12-band,0.025059952038369308,24.04452690166974
0.03,fig12-band,0.025059952038369308,23.15398886827458
0.03,fig12-band,0.025059952038369308,21.966604823747645
0.03,fig12-band,0.025059952038369308,21.669758812615953
0.03,fig12-band,0.025059952038369308,18.10760667903523
0.03,fig12-band,0.03009592326139089,29.684601113172533
0.03,fig12-band,0.03009592326139089,28.200371057513905
0.03,fig12-band,0.03009592326139089,27.012987012986997
0.03,fig12-band,0.03009592326139089,22.263450834879393
0.03,fig12-band,0.03501199040767387,33.84044526901667
0.03,fig12-band,0.03501199040767387,33.24675324675323
0.03,fig12-band,0.03501199040767387,28.200371057513905
0.03,fig12-band,0.04004796163069544,38.88682745825599
0.03,fig12-band,0.04004796163069544,32.94990723562151
0.03,fig12-band,0.04508393285371703,46.011131725417414
0.03,fig12-band,0.04508393285371703,44.823747680890534
0.03,fig12-band,0.04508393285371703,39.77736549165118
0.03,fig12-band,0.05,54.9165120593692
0.03,fig12-band,0.05,51.65120593692022
0.03,fig12-band,0.05,50.16697588126158
0.03,fig12-band,0.05,46.307977736549134
0.03,fig12-band,0.05503597122302159,62.93135435992578
0.03,fig12-band,0.05503597122302159,62.33766233766232
0.03,fig12-band,0.05503597122302159,58.47866419294991
0.03,fig12-band,0.05503597122302159,55.51020408163264
0.03,fig12-band,0.060071942446043164,70.05565862708717
0.03,fig12-band,0.060071942446043164,67.97773654916512
0.03,fig12-band,0.060071942446043164,65.00927643784784
0.03,fig12-band,0.060071942446043164,62.33766233766232
0.03,fig12-band,0.06498800959232615,75.69573283858996
0.03,fig12-band,0.06498800959232615,73.61781076066788
0.03,fig12-band,0.06498800959232615,68.27458256029682
0.03,fig12-band,0.06498800959232615,65.6029684601113
0.03,fig12-band,0.07002398081534773,80.44526901669757
0.03,fig12-band,0.07002398081534773,78.96103896103894
0.03,fig12-band,0.07002398081534773,78.66419294990722
0.03,fig12-band,0.06990407673860911,70.94619666048236
0.03,fig12-band,0.07505995203836932,87.86641929499072
0.03,fig12-band,0.07505995203836932,85.19480519480517
0.03,fig12-band,0.07505995203836932,76.88311688311686
0.03,fig12-band,0.08009592326139091,94.10018552875694
0.03,fig12-band,0.08009592326139091,92.61595547309832
0.03,fig12-band,0.08009592326139091,89.94434137291279
0.03,fig12-band,0.08009592326139091,83.41372912801484
0.03,fig12-band,0.08501199040767386,100.03710575139145
0.03,fig12-band,0.08501199040767386,93.20964749536176
0.03,fig12-band,0.08501199040767386,91.1317254174397
0.03,fig12-band,0.09004796163069545,108.64564007421149
0.03,fig12-band,0.09004796163069545,105.97402597402596
0.03,fig12-band,0.09004796163069545,100.03710575139145
0.03,fig12-band,0.09400479616306956,117.25417439703153
0.03,fig12-band,0.09400479616306956,110.42671614100185
0.03,fig12-band,0.09400479616306956,108.34879406307977
0.03,fig12-band,0.09400479616306956,106.86456400742114
0.035,fig13-band,0.010012515644555693,4.857142857142861
0.035,fig13-band,0.015018773466833538,10.571428571428555
0.035,fig13-band,0.015018773466833538,9.428571428571416
0.035,fig13-band,0.015018773466833538,8.571428571428584
0.035,fig13-band,0.02002503128911139,15.142857142857139
0.035,fig13-band,0.02002503128911139,14.0
0.035,fig13-band,0.02002503128911139,12.285714285714278
0.035,fig13-band,0.025031289111389236,19.714285714285722
0.035,fig13-band,0.025031289111389236,18.571428571428555
0.035,fig13-band,0.025031289111389236,16.571428571428555
0.035,fig13-band,0.03003754693366708,26.857142857142833
0.035,fig13-band,0.03003754693366708,24.571428571428555
0.035,fig13-band,0.03003754693366708,23.428571428571416
0.035,fig13-band,0.03003754693366708,20.285714285714278
0.035,fig13-band,0.03504380475594492,35.428571428571416
0.035,fig13-band,0.03504380475594492,32.571428571428584
0.035,fig13-band,0.03504380475594492,30.285714285714278
0.035,fig13-band,0.03504380475594492,30.0
0.035,fig13-band,0.03504380475594492,24.85714285714286
0.035,fig13-band,0.04005006257822278,42.571428571428555
0.035,fig13-band,0.04005006257822278,38.28571428571428
0.035,fig13-band,0.04005006257822278,37.71428571428572
0.035,fig13-band,0.04005006257822278,36.571428571428555
0.035,fig13-band,0.04005006257822278,32.0
0.035,fig13-band,0.045056320400500616,45.14285714285714
0.035,fig13-band,0.045056320400500616,43.428571428571416
0.035,fig13-band,0.045056320400500616,42.571428571428555
0.035,fig13-band,0.045056320400500616,38.571428571428584
0.035,fig13-band,0.05006257822277847,50.57142857142857
0.035,fig13-band,0.05006257822277847,49.142857142857125
0.035,fig13-band,0.05006257822277847,48.28571428571429
0.035,fig13-band,0.05006257822277847,45.71428571428571
0.035,fig13-band,0.05506883604505632,59.14285714285714
0.035,fig13-band,0.05506883604505632,54.85714285714286
0.035,fig13-band,0.05506883604505632,54.0
0.035,fig13-band,0.05506883604505632,51.14285714285714
0.035,fig13-band,0.05994993742177721,65.14285714285714
0.035,fig13-band,0.05994993742177721,60.85714285714286
0.035,fig13-band,0.05994993742177721,60.0
0.035,fig13-band,0.05994993742177721,59.14285714285714
0.035,fig13-band,0.05994993742177721,55.428571428571416
0.035,fig13-band,0.065081351689612,72.28571428571428
0.035,fig13-band,0.065081351689612,68.28571428571428
0.035,fig13-band,0.065081351689612,66.85714285714286
0.035,fig13-band,0.065081351689612,66.57142857142857
0.035,fig13-band,0.065081351689612,62.28571428571428
0.035,fig13-band,0.07008760951188985,79.7142857142857
0.035,fig13-band,0.07008760951188985,75.99999999999999
0.035,fig13-band,0.07008760951188985,73.99999999999999
0.035,fig13-band,0.07008760951188985,73.42857142857143
0.035,fig13-band,0.07008760951188985,68.57142857142856
0.035,fig13-band,0.0750938673341677,88.0
0.035,fig13-band,0.0750938673341677,84.57142857142857
0.035,fig13-band,0.0750938673341677,81.14285714285714
0.035,fig13-band,0.0750938673341677,79.7142857142857
0.035,fig13-band,0.0750938673341677,74.57142857142856
0.035,fig13-band,0.08010012515644556,95.14285714285714
0.035,fig13-band,0.08010012515644556,93.42857142857142
0.035,fig13-band,0.08010012515644556,89.71428571428571
0.035,fig13-band,0.08010012515644556,86.28571428571429
0.035,fig13-band,0.08010012515644556,81.42857142857142
0.035,fig13-band,0.08510638297872339,103.14285714285714
0.035,fig13-band,0.08510638297872339,101.71428571428571
0.035,fig13-band,0.08510638297872339,97.14285714285714
0.035,fig13-band,0.08510638297872339,93.71428571428571
0.035,fig13-band,0.08510638297872339,88.28571428571428
0.035,fig13-band,0.09011264080100123,114.28571428571428
0.035,fig13-band,0.09011264080100123,110.85714285714285
0.035,fig13-band,0.09011264080100123,105.99999999999999
0.035,fig13-band,0.09011264080100123,102.28571428571428
0.035,fig13-band,0.09011264080100123,94.57142857142857
0.035,fig13-band,0.09411764705882351,124.28571428571428
0.035,fig13-band,0.09411764705882351,118.0
0.035,fig13-band,0.09411764705882351,109.14285714285714
0.035,fig13-band,0.09411764705882351,101.14285714285714
0.0375,fig14-band,0.009975062344139649,8.540925266903912
0.0375,fig14-band,0.009975062344139649,5.978647686832716
0.0375,fig14-band,0.015087281795511222,15.088967971530224
0.0375,fig14-band,0.015087281795511222,11.10320284697508
0.0375,fig14-band,0.020074812967581047,21.637010676156564
0.0375,fig14-band,0.020074812967581047,18.790035587188584
0.0375,fig14-band,0.025062344139650868,27.615658362989308
0.0375,fig14-band,0.025062344139650868,25.05338078291814
0.0375,fig14-band,0.025062344139650868,24.768683274021328
0.0375,fig14-band,0.030049875311720698,34.16370106761565
0.0375,fig14-band,0.030049875311720698,31.60142348754448
0.0375,fig14-band,0.030049875311720698,31.316725978647668
